Clean_Title,Title_Counts,Clean_Title_Prompt,is_original,Clean_Title_Char_Len,Content_Type_Prompt,content_type
arrested development,5,Is title 'arrested development' original Netflix content?,Answer No,20,"Is Netflix title 'arrested development' a Series, Movie, or Documentary?",Answer Series
aggretsuko,5,Is title 'aggretsuko' original Netflix content?,Answer Yes,10,"Is Netflix title 'aggretsuko' a Series, Movie, or Documentary?",Answer Series
the great british baking show holidays,5,Is title 'the great british baking show holidays' original Netflix content?,Answer No,38,"Is Netflix title 'the great british baking show holidays' a Series, Movie, or Documentary?",Answer Series
dynasty,5,Is title 'dynasty' original Netflix content?,Answer No,7,"Is Netflix title 'dynasty' a Series, Movie, or Documentary?",Answer Series
henry danger,5,Is title 'henry danger' original Netflix content?,Answer No,12,"Is Netflix title 'henry danger' a Series, Movie, or Documentary?",Answer Series
fuller house,5,Is title 'fuller house' original Netflix content?,Answer Yes,12,"Is Netflix title 'fuller house' a Series, Movie, or Documentary?",Answer Series
miraculous tales of ladybug  cat noir,5,Is title 'miraculous tales of ladybug  cat noir' original Netflix content?,Answer No,37,"Is Netflix title 'miraculous tales of ladybug  cat noir' a Series, Movie, or Documentary?",Answer Series
dora the explorer,5,Is title 'dora the explorer' original Netflix content?,Answer No,17,"Is Netflix title 'dora the explorer' a Series, Movie, or Documentary?",Answer Series
all american,5,Is title 'all american' original Netflix content?,Answer No,12,"Is Netflix title 'all american' a Series, Movie, or Documentary?",Answer Series
seora acero,5,Is title 'seora acero' original Netflix content?,Answer No,11,"Is Netflix title 'seora acero' a Series, Movie, or Documentary?",Answer Series
line of duty,5,Is title 'line of duty' original Netflix content?,Answer No,12,"Is Netflix title 'line of duty' a Series, Movie, or Documentary?",Answer Series
horrid henry,5,Is title 'horrid henry' original Netflix content?,Answer No,12,"Is Netflix title 'horrid henry' a Series, Movie, or Documentary?",Answer Series
the great canadian baking show,5,Is title 'the great canadian baking show' original Netflix content?,Answer No,30,"Is Netflix title 'the great canadian baking show' a Series, Movie, or Documentary?",Answer Series
eastsiders,4,Is title 'eastsiders' original Netflix content?,Answer Yes,10,"Is Netflix title 'eastsiders' a Series, Movie, or Documentary?",Answer Series
lego city adventures,4,Is title 'lego city adventures' original Netflix content?,Answer No,20,"Is Netflix title 'lego city adventures' a Series, Movie, or Documentary?",Answer Series
the bold type,4,Is title 'the bold type' original Netflix content?,Answer No,13,"Is Netflix title 'the bold type' a Series, Movie, or Documentary?",Answer Series
greenhouse academy,4,Is title 'greenhouse academy' original Netflix content?,Answer Yes,18,"Is Netflix title 'greenhouse academy' a Series, Movie, or Documentary?",Answer Series
chip and potato,4,Is title 'chip and potato' original Netflix content?,Answer Yes,15,"Is Netflix title 'chip and potato' a Series, Movie, or Documentary?",Answer Series
love is blind,4,Is title 'love is blind' original Netflix content?,Answer Yes,13,"Is Netflix title 'love is blind' a Series, Movie, or Documentary?",Answer Series
half  half,4,Is title 'half  half' original Netflix content?,Answer No,10,"Is Netflix title 'half  half' a Series, Movie, or Documentary?",Answer Series
last tango in halifax,4,Is title 'last tango in halifax' original Netflix content?,Answer No,21,"Is Netflix title 'last tango in halifax' a Series, Movie, or Documentary?",Answer Series
harvey girls forever,4,Is title 'harvey girls forever' original Netflix content?,Answer Yes,20,"Is Netflix title 'harvey girls forever' a Series, Movie, or Documentary?",Answer Series
little things,4,Is title 'little things' original Netflix content?,Answer Yes,13,"Is Netflix title 'little things' a Series, Movie, or Documentary?",Answer Series
i am a killer,4,Is title 'i am a killer' original Netflix content?,Answer Yes,13,"Is Netflix title 'i am a killer' a Series, Movie, or Documentary?",Answer Series
the secret life of us,4,Is title 'the secret life of us' original Netflix content?,Answer No,21,"Is Netflix title 'the secret life of us' a Series, Movie, or Documentary?",Answer Series
mtv shuga naija,4,Is title 'mtv shuga naija' original Netflix content?,Answer No,15,"Is Netflix title 'mtv shuga naija' a Series, Movie, or Documentary?",Answer Series
killing eve,4,Is title 'killing eve' original Netflix content?,Answer No,11,"Is Netflix title 'killing eve' a Series, Movie, or Documentary?",Answer Series
married at first sight,4,Is title 'married at first sight' original Netflix content?,Answer No,22,"Is Netflix title 'married at first sight' a Series, Movie, or Documentary?",Answer Series
yu yu hakusho ghost files,4,Is title 'yu yu hakusho ghost files' original Netflix content?,Answer No,25,"Is Netflix title 'yu yu hakusho ghost files' a Series, Movie, or Documentary?",Answer Series
the worst witch,4,Is title 'the worst witch' original Netflix content?,Answer No,15,"Is Netflix title 'the worst witch' a Series, Movie, or Documentary?",Answer Series
boruto naruto next generations,4,Is title 'boruto naruto next generations' original Netflix content?,Answer No,30,"Is Netflix title 'boruto naruto next generations' a Series, Movie, or Documentary?",Answer Series
in the dark 2019,4,Is title 'in the dark 2019' original Netflix content?,Answer No,16,"Is Netflix title 'in the dark 2019' a Series, Movie, or Documentary?",Answer Series
love island australia,4,Is title 'love island australia' original Netflix content?,Answer No,21,"Is Netflix title 'love island australia' a Series, Movie, or Documentary?",Answer Series
3,4,Is title '3' original Netflix content?,"Answer: It is unclear which specific title ""3"" refers to, so it is difficult to determine if it is original Netflix content.",1,"Is Netflix title '3' a Series, Movie, or Documentary?",Answer Series
weissensee,4,Is title 'weissensee' original Netflix content?,Answer No,10,"Is Netflix title 'weissensee' a Series, Movie, or Documentary?",Answer Series
life in pieces,4,Is title 'life in pieces' original Netflix content?,Answer No,14,"Is Netflix title 'life in pieces' a Series, Movie, or Documentary?",Answer Series
on my block,4,Is title 'on my block' original Netflix content?,Answer Yes,11,"Is Netflix title 'on my block' a Series, Movie, or Documentary?",Answer Series
the coroner 2019,4,Is title 'the coroner 2019' original Netflix content?,Answer No,16,"Is Netflix title 'the coroner 2019' a Series, Movie, or Documentary?",Answer Series
inspector gadget,4,Is title 'inspector gadget' original Netflix content?,Answer No,16,"Is Netflix title 'inspector gadget' a Series, Movie, or Documentary?",Answer Series
chico bon bon monkey with a tool belt,4,Is title 'chico bon bon monkey with a tool belt' original Netflix content?,Answer Yes,37,"Is Netflix title 'chico bon bon monkey with a tool belt' a Series, Movie, or Documentary?",Answer Series
charmed 2018,4,Is title 'charmed 2018' original Netflix content?,Answer No,12,"Is Netflix title 'charmed 2018' a Series, Movie, or Documentary?",Answer Series
13 reasons why,4,Is title '13 reasons why' original Netflix content?,Answer Yes,14,"Is Netflix title '13 reasons why' a Series, Movie, or Documentary?",Answer Series
degrassi next class,4,Is title 'degrassi next class' original Netflix content?,Answer No,19,"Is Netflix title 'degrassi next class' a Series, Movie, or Documentary?",Answer Series
cable girls,4,Is title 'cable girls' original Netflix content?,Answer Yes,11,"Is Netflix title 'cable girls' a Series, Movie, or Documentary?",Answer Series
nicky ricky dicky  dawn,4,Is title 'nicky ricky dicky  dawn' original Netflix content?,Answer No,23,"Is Netflix title 'nicky ricky dicky  dawn' a Series, Movie, or Documentary?",Answer Series
you,4,Is title 'you' original Netflix content?,Answer Yes,3,"Is Netflix title 'you' a Series, Movie, or Documentary?",Answer Series
please like me,4,Is title 'please like me' original Netflix content?,Answer No,14,"Is Netflix title 'please like me' a Series, Movie, or Documentary?",Answer Series
open,4,Is title 'open' original Netflix content?,Answer: No,4,"Is Netflix title 'open' a Series, Movie, or Documentary?",Answer Movie
documentary now,4,Is title 'documentary now' original Netflix content?,Answer No,15,"Is Netflix title 'documentary now' a Series, Movie, or Documentary?",Answer Series
resurrection ertugrul,4,Is title 'resurrection ertugrul' original Netflix content?,Answer No,21,"Is Netflix title 'resurrection ertugrul' a Series, Movie, or Documentary?",Answer Series
lego friends girls on a mission,4,Is title 'lego friends girls on a mission' original Netflix content?,Answer No,31,"Is Netflix title 'lego friends girls on a mission' a Series, Movie, or Documentary?",Answer Series
robocar poli,4,Is title 'robocar poli' original Netflix content?,Answer No,12,"Is Netflix title 'robocar poli' a Series, Movie, or Documentary?",Answer Series
star trek enterprise,4,Is title 'star trek enterprise' original Netflix content?,Answer No,20,"Is Netflix title 'star trek enterprise' a Series, Movie, or Documentary?",Answer Series
spongebob squarepants,4,Is title 'spongebob squarepants' original Netflix content?,Answer No,21,"Is Netflix title 'spongebob squarepants' a Series, Movie, or Documentary?",Answer Series
good girls,4,Is title 'good girls' original Netflix content?,Answer No,10,"Is Netflix title 'good girls' a Series, Movie, or Documentary?",Answer Series
club de cuervos,4,Is title 'club de cuervos' original Netflix content?,Answer Yes,15,"Is Netflix title 'club de cuervos' a Series, Movie, or Documentary?",Answer Series
the sinner,4,Is title 'the sinner' original Netflix content?,Answer No,10,"Is Netflix title 'the sinner' a Series, Movie, or Documentary?",Answer Series
the real housewives of beverly hills,4,Is title 'the real housewives of beverly hills' original Netflix content?,Answer No,36,"Is Netflix title 'the real housewives of beverly hills' a Series, Movie, or Documentary?",Answer Series
black sails,4,Is title 'black sails' original Netflix content?,Answer No,11,"Is Netflix title 'black sails' a Series, Movie, or Documentary?",Answer Series
virgin river,4,Is title 'virgin river' original Netflix content?,Answer Yes,12,"Is Netflix title 'virgin river' a Series, Movie, or Documentary?",Answer Series
crazy exgirlfriend,4,Is title 'crazy exgirlfriend' original Netflix content?,Answer No,18,"Is Netflix title 'crazy exgirlfriend' a Series, Movie, or Documentary?",Answer Series
hello ninja,4,Is title 'hello ninja' original Netflix content?,Answer Yes,11,"Is Netflix title 'hello ninja' a Series, Movie, or Documentary?",Answer Series
kath and kim,4,Is title 'kath and kim' original Netflix content?,Answer No,12,"Is Netflix title 'kath and kim' a Series, Movie, or Documentary?",Answer Series
molang,4,Is title 'molang' original Netflix content?,Answer No,6,"Is Netflix title 'molang' a Series, Movie, or Documentary?",Answer Series
pirunpelto,4,Is title 'pirunpelto' original Netflix content?,Answer: No,10,"Is Netflix title 'pirunpelto' a Series, Movie, or Documentary?",Answer Series
new amsterdam 2018,4,Is title 'new amsterdam 2018' original Netflix content?,Answer No,18,"Is Netflix title 'new amsterdam 2018' a Series, Movie, or Documentary?",Answer Series
velvet,4,Is title 'velvet' original Netflix content?,Answer No,6,"Is Netflix title 'velvet' a Series, Movie, or Documentary?",Answer Series
teenage mutant ninja turtles 2012,4,Is title 'teenage mutant ninja turtles 2012' original Netflix content?,Answer No,33,"Is Netflix title 'teenage mutant ninja turtles 2012' a Series, Movie, or Documentary?",Answer Series
the chef show,4,Is title 'the chef show' original Netflix content?,Answer Yes,13,"Is Netflix title 'the chef show' a Series, Movie, or Documentary?",Answer Series
king of golf,4,Is title 'king of golf' original Netflix content?,Answer No,12,"Is Netflix title 'king of golf' a Series, Movie, or Documentary?","Answer: It could be a movie or a documentary, depending on the specific content of the title."
titans,4,Is title 'titans' original Netflix content?,Answer No,6,"Is Netflix title 'titans' a Series, Movie, or Documentary?",Answer Series
locked up,4,Is title 'locked up' original Netflix content?,Answer No,9,"Is Netflix title 'locked up' a Series, Movie, or Documentary?",Answer Series
dream home makeover,4,Is title 'dream home makeover' original Netflix content?,Answer Yes,19,"Is Netflix title 'dream home makeover' a Series, Movie, or Documentary?",Answer Series
the night shift,4,Is title 'the night shift' original Netflix content?,Answer No,15,"Is Netflix title 'the night shift' a Series, Movie, or Documentary?",Answer Series
catastrophe,4,Is title 'catastrophe' original Netflix content?,Answer No,11,"Is Netflix title 'catastrophe' a Series, Movie, or Documentary?",Answer Series
ben 10,4,Is title 'ben 10' original Netflix content?,Answer No,6,"Is Netflix title 'ben 10' a Series, Movie, or Documentary?",Answer Series
the thundermans,4,Is title 'the thundermans' original Netflix content?,Answer No,15,"Is Netflix title 'the thundermans' a Series, Movie, or Documentary?",Answer Series
ushijima the loan shark,4,Is title 'ushijima the loan shark' original Netflix content?,Answer No,23,"Is Netflix title 'ushijima the loan shark' a Series, Movie, or Documentary?",Answer Series
